[2/467] STALE      daytona/content#13
[3/467] TAKEN      go-gitea/gitea#1872
[4/467] STALE      onyx-dot-app/onyx#2281
[5/467] STALE      tscircuit/jlcsearch#92
[6/467] ABANDONED  rohitdash08/FinMind#121
[7/467] PAID       outerbase/starbasedb#71
[9/467] ABANDONED  UnsafeLabs/Bounty-Hunters#611
[10/467] STALE      arakoodev/EdgeChains#290
[11/467] STALE      Bu1ldTh3Futur3/bounty-hunter-test#1
[12/467] ABANDONED  highlight/highlight#8032
[13/467] STALE      gyroflow/gyroflow#742
[14/467] STALE      tscircuit/pcb-viewer#163
[15/467] STALE      speakers-in-tech/conference-data#10
[17/467] ABANDONED  mangdangroboticsclub/mini_pupper_ros#125
[18/467] ABANDONED  spaceandtimefdn/sxt-proof-of-sql#228
[19/467] ABANDONED  flydelabs/flyde#112
[20/467] ABANDONED  javelin-anticheat/py-workedtask#4
[21/467] ABANDONED  activepieces/activepieces#8072
[22/467] PAID       permitio/opal#661
[23/467] STALE      tryabby/abby#68
[24/467] PAID       tscircuit/file-server#5
[25/467] STALE      getdozer/dozer#1659
[26/467] PAID       tscircuit/template-api-fake#2
[27/467] ABANDONED  BAWES-Universe/workadventure-universe#1
[28/467] STALE      ApexOpsStudio/ai-gitops-test-target#1
[29/467] STALE      caley-io/marketing#1
[32/467] TAKEN      sudhakarbaghel/test#10
[33/467] PAID       smallcloudai/refact-sublime#6
[35/467] WITHDRAWN  Fahad-Dezloper/ProjectHunt#2
[36/467] STALE      Fahad-Dezloper/Crowdify#27
[37/467] PAID       zbdpay/zbd-node#4
[38/467] ABANDONED  UnsafeLabs/Coolify-Rust-v4#3
[39/467] STALE      tailcallhq/graphql-benchmarks#272
[40/467] PAID       reorproject/reor#427
[41/467] PAID       scratchdata/scratchdata#170
[42/467] PAID       192600/fishwww#1
[43/467] ASSIGNED   revertinc/revert#372
[45/467] ASSIGNED   TheSolaAI/sola-application#157
[46/467] STALE      PHPOffice/PHPWord#69
[47/467] STALE      zio-archive/zio-jdbc#144
[48/467] STALE      organization2025/Project#15
[49/467] PAID       lablab-ai/community-content#446
[50/467] STALE      claude-builders-bounty/claude-builders-bounty#1
[51/467] TAKEN      auscaster/frantic-board#106
[52/467] STALE      mergeos-bounties/mergeos#1
[53/467] CONTESTED  microg/GmsCore#2994
[54/467] OPEN       Scottcjn/rustchain-bounties#728
[55/467] TAKEN      zhangjiayang6835-cyber/bounty-plaza#674
[56/467] CONTESTED  illbnm/homelab-stack#14
[57/467] STALE      daydreamsai/agent-bounties#1
[58/467] OPEN       QubesOS/qubes-issues#4318
[59/467] ASSIGNED   debauchee/barrier#109
[60/467] TAKEN      bolivian-peru/os-moda#4
[61/467] OPEN       Scottcjn/Rustchain#165
[62/467] CONTESTED  NSPG13/agent-bounties#772
[63/467] ASSIGNED   tenstorrent/tt-metal#18287
[64/467] ASSIGNED   ActivityWatch/activitywatch#35
[65/467] OPEN       relayhop/sn-monetization-runtime#192
[66/467] TAKEN      qbittorrent/qBittorrent#12842
[67/467] TAKEN      input-leap/input-leap#109
[68/467] ASSIGNED   kendraio/kendraio-app#169
[69/467] STALE      warpspeedopen-source/warpspeed-bounties#1
[70/467] TAKEN      gkjohnson/three-gpu-pathtracer#85
[71/467] TAKEN      TeamNewPipe/NewPipe#962
[72/467] TAKEN      nextcloud/passman-webextension#75
[73/467] ASSIGNED   stabilitydao/inception-contracts#20
[74/467] STALE      ULCproject/ulcproject.github.io#1
[75/467] OPEN       limetext/lime#228
[76/467] OPEN       vita-nuova/bounties#5
[77/467] ASSIGNED   asyncapi/website#3186
[78/467] CONTESTED  fengking-li/group-buying-data-monitor#1
[79/467] TAKEN      esp8266/Arduino#905
[80/467] ASSIGNED   chouhanindustries/copperhead#66
[81/467] OPEN       Erkan-Yilmaz/Gridcoin-tasks#2
[82/467] CONTESTED  shanalikhan/code-settings-sync#143
[83/467] STALE      aLexzzz430/Cognitive-OS#5
[84/467] OPEN       Swordfish90/cool-retro-term#40
[85/467] TAKEN      digistump/OakCore#32
[86/467] OPEN       oleganza/CoreBitcoin#26
[87/467] OPEN       mjg-foundation/passport2-monero#3
[88/467] TAKEN      stashapp/stash#1258
[89/467] CONTESTED  iii123iii/Crystal-PDF#3
[90/467] STALE      Spectral-Finance/lux#77
[91/467] ASSIGNED   zhangjiayang6835-cyber/ai-research#1419
[92/467] STALE      Galxe/galxe-contracts#3
[93/467] CONTESTED  watney-ai/open-source-bounties#1
[94/467] ASSIGNED   vedanshjainvj/Job-Hive#74
[95/467] STALE      Paratii-Video/paratii-portal#820
[96/467] TAKEN      Paratii-Video/paratii-js#270
[97/467] TAKEN      Paratii-Video/paratii-mediaplayer#50
[98/467] NO BOUNTY  aibtcdev/legions#12
[99/467] CONTESTED  mergeos-bounties/PoseGuide#34
[100/467] NO BOUNTY  jackychen129/clawjob#5
[101/467] NO BOUNTY  pm6guy10/foldera-ai#1258
[102/467] NO BOUNTY  liubaining-louis/louis-os#77
[103/467] NO BOUNTY  Expensify/App#96746
[104/467] NO BOUNTY  blac9216/vimm-dl#291
[105/467] ASSIGNED   MyZubster-Ecosystem/MyZubster-Marketplace#33
[106/467] NO BOUNTY  musistudio/claude-code-router#1662
[107/467] NO BOUNTY  guil-lambert/defipunkd#288
[108/467] NO BOUNTY  Flamki/stellarmind#23
[109/467] NO BOUNTY  anthropics/claude-code#84085
[110/467] PAID       peleduri/zero-day-pulse#7
[111/467] ASSIGNED   fabriziosalmi/enjoy#8
[112/467] NO BOUNTY  BytechLabs/Texturion#285
[113/467] NO BOUNTY  devpool-directory/devpool-directory#5027
[114/467] NO BOUNTY  gitcoinco/gitcoin_co_30#395
[115/467] TAKEN      hlorus/CAD_Sketcher#67
[116/467] NO BOUNTY  waigore/colonizethisv3#4383
[117/467] NO BOUNTY  PrinceOfPwn/Munin#176
[118/467] NO BOUNTY  launchpad-26/buzz#109
[119/467] NO BOUNTY  chatmcp/mcpso#1
[120/467] TAKEN      jflournoy/for-funsies#43
[121/467] NO BOUNTY  randomparity/adept#49
